,CPU_Name,Price,BenchMarl,cpuValue,TDP,powerPerf
1,AMD EPYC 7763,544360.2543,88338,12.1,280,315.49
3,AMD EPYC 7713,526464.2,85861,12.16,225,381.6
4,AMD Ryzen Threadripper PRO 3995WX,507671.0686,83971,12.33,280,299.9
5,AMD Ryzen Threadripper 3990X,626364.8833,81568,9.71,280,291.31
8,AMD EPYC 7643,404541.5043,76455,14.09,225,339.8
9,AMD EPYC 7702,298280,71646,17.91,200,358.23
10,AMD EPYC 7662,508343.69,71576,10.5,225,318.12
11,AMD EPYC 7742,376279.4743,68749,13.62,225,305.55
14,AMD EPYC 7642,274715.88,67748,18.39,225,301.1
15,AMD EPYC 7543P,223635.43,67144,22.39,225,298.42
17,AMD Ryzen Threadripper 3970X,223560.1143,63835,21.29,280,227.98
18,AMD Ryzen Threadripper PRO 3975WX,335564.2543,63495,14.11,280,226.77
19,Intel Xeon Platinum 8380 @ 2.30GHz,669489.46,62317,6.94,270,230.81
20,AMD EPYC 7702P,260994.2543,61689,17.63,200,308.44
21,AMD EPYC 74F3,372029.73,60948,12.22,240,253.95
22,AMD EPYC 7513,211778.8,59732,21.03,200,298.66
23,AMD EPYC 7443P,111854.2543,57666,38.44,200,288.33
24,AMD EPYC 7542,133479.5543,56728,31.69,225,252.13
25,AMD EPYC 7543,280457.77,56562,15.04,240,235.68
27,AMD Ryzen Threadripper 3960X,125493.853,54757,32.54,280,195.56
28,Intel Xeon Platinum 8358 @ 2.60GHz,380139.2175,54416,10.67,250,217.67
29,AMD EPYC 7453,134151.43,53511,29.74,225,237.83
30,Intel Xeon Gold 6348 @ 2.60GHz,236610.61,53112,16.74,235,226.01
33,AMD EPYC 7402,146306.34,51368,26.18,180,285.38
35,AMD EPYC 7502,205067.5,49177,17.88,180,273.21
36,AMD EPYC 7502P,201078.7507,48995,18.17,180,272.19
37,Intel Xeon Gold 6342 @ 2.80GHz,285297.363,48330,12.63,230,210.13
38,AMD EPYC 7413,148990.1143,46295,23.17,180,257.2
39,AMD Ryzen 9 5950X,48451.1118,46195,71.1,105,439.96
40,AMD EPYC 73F3,446823.44,46085,7.69,240,192.02
41,AMD EPYC 7343,126768.2543,45882,26.99,190,241.48
43,Intel Xeon Gold 6336Y @ 2.40GHz,287119.8538,45517,11.82,185,246.04
44,Intel Core i9-12900KS,58163.1086,44243,56.72,150,294.95
45,Intel Xeon Gold 6312U @ 2.40GHz,129499.7534,43745,25.19,185,236.46
46,Intel Xeon Gold 6330 @ 2.00GHz,141981.28,43056,22.61,205,210.03
47,AMD EPYC 7601,67109.2715,42244,46.94,180,234.69
48,AMD EPYC 7452,164797.4629,41871,18.95,155,270.14
49,AMD EPYC 7402P,106555.3101,41741,29.21,180,231.9
51,Intel Xeon Gold 6354 @ 3.00GHz,218686.2191,41434,14.13,205,202.12
53,Intel Core i9-12900KF,42727.1186,41163,71.84,241,170.8
54,Intel Core i9-12900K,44738.2715,41077,68.47,241,170.44
55,AMD EPYC 7F52,231167,40951,13.21,240,170.63
56,AMD EPYC 7313P,68082.41,40879,44.77,155,263.74
58,Intel Xeon W-3275M @ 2.50GHz,555770.21,40767,5.47,205,198.86
59,AMD EPYC 7313,87991.8543,40575,34.39,155,261.77
60,AMD EPYC 7352,95449.6,40472,31.62,155,261.11
61,AMD Ryzen Threadripper PRO 3955WX,148767.15,40225,20.16,280,143.66
62,Intel Xeon W-3265M @ 2.70GHz,473743.21,39620,6.24,205,193.27
63,AMD Ryzen 9 5900X,29308.2471,39457,100.39,105,375.78
64,AMD Ryzen 9 3950X,48470.5,39157,60.24,105,372.92
