driveName,Type,Capacity  (in GBs),Benchmark Rank,Price,Release_Date
Intel SSD DC S3500 600GB,SSD,559,2048," INR 9,064.00 ",2013
SSD 720GB,SSD,671,4759," INR 8,799.20 ",2020
Samsung SSD 840 EVO 750GB,SSD,699,2045," INR 43,999.20 ",2013
Crucial CT750MX300SSD1,SSD,699,2404," INR 21,996.00 ",2016
Intel DC P3700 800GB NVMe,SSD,745,921," INR 59,200.00 ",2015
Intel SSD 750 800GB NVMe,SSD,745,1059," INR 57,200.00 ",2015
Intel DC P3600 800GB NVMe,SSD,745,1324," INR 70,459.20 ",2014
Intel SSD DC S3500 800GB,SSD,745,1941," INR 20,800.00 ",2015
Intel SSD DC S3700 800GB,SSD,745,1986," INR 48,000.00 ",2014
Intel SSD DC S3610 800GB,SSD,745,2073," INR 34,399.20 ",2016
Intel SSD DC S3710 800GB,SSD,745,2321," INR 43,920.00 ",2015
MK0800GCTZB,SSD,745,2391," INR 30,116.00 ",2016
Intel Optane 905P 960GB,SSD,894,190," INR 108,941.60 ",2018
Corsair Force MP510 960GB,SSD,894,407," INR 11,199.20 ",2018
WDC WDS960G2G0C,SSD,894,430," INR 5,999.20 ",2021
SAMSUNG MZ1LB960HAJQ-00007,SSD,894,530," INR 22,640.00 ",2021
CT960BX200SSD1,SSD,894,2335," INR 23,821.60 ",2016
PNY CS1311 960GB SSD,SSD,894,2424," INR 22,608.80 ",2016
SanDisk Ultra II 960GB,SSD,894,2462," INR 37,056.00 ",2015
Crucial CT960M500SSD1,SSD,894,2727," INR 52,317.60 ",2013
PNY CS900 960GB SSD,SSD,894,2844," INR 7,199.20 ",2018
FCCT960M500SSD1,SSD,894,3431," INR 17,599.20 ",2015
Samsung SSD 845DC EVO 960GB,SSD,894,3780," INR 84,380.00 ",2015
Patriot Ignite,SSD,894,3896," INR 12,169.60 ",2015
CT960BX500SSD1,SSD,894,4499," INR 7,999.20 ",2019
XPG SX950U,SSD,894,4978," INR 8,799.20 ",2018
Samsung 980 PRO with Heatsink 1TB,SSD,932,29," INR 14,399.20 ",2021
CT1000P5PSSD8,SSD,932,55," INR 10,239.20 ",2021
MSI M480 1TB,SSD,932,57," INR 19,919.20 ",2021
Samsung SSD 980 PRO 1TB,SSD,932,59," INR 16,842.40 ",2020
PNY CS3040 1TB SSD,SSD,932,83," INR 14,079.20 ",2021
Viper M.2 VP4100,SSD,932,108," INR 11,199.20 ",2019
Gigabyte AORUS NVMe Gen4 M.2 1TB,SSD,932,117," INR 10,399.20 ",2019
Corsair Force MP600 1TB,SSD,932,118," INR 9,999.20 ",2019
XPG GAMMIX S50,SSD,932,145," INR 15,599.20 ",2019
WD Blue SN570 1TB,SSD,932,152," INR 7,199.20 ",2021
WD Green SN350 1TB,SSD,932,177," INR 6,399.20 ",2021
CT1000P5SSD8,SSD,932,184," INR 9,280.00 ",2020
Sabrent Rocket 4,SSD,932,187," INR 15,095.20 ",2020
Seagate BarraCuda 510 SSD ZP1000CM30001,SSD,932,207," INR 10,944.80 ",2020
Samsung SSD 970 EVO Plus 1TB,SSD,932,218," INR 17,439.20 ",2019
WD Black SN750 NVMe 1TB,SSD,932,231," INR 11,999.20 ",2019
WD Black NVMe 1TB,SSD,932,273," INR 13,038.40 ",2018
PNY CS3030 1TB SSD,SSD,932,293," INR 10,399.20 ",2019
SanDisk Extreme Pro 1TB,SSD,932,329," INR 15,199.20 ",2019
Samsung SSD 970 EVO 1TB,SSD,932,354," INR 9,550.40 ",2018
MKNSSDPE1TB-D8,SSD,932,455," INR 7,999.20 ",2019
PNY CS2130 1TB SSD,SSD,932,520," INR 12,479.20 ",2020
WD Blue SN550 NVMe SSD 1TB,SSD,932,561," INR 8,180.00 ",2019
Samsung SSD 960 EVO 1TB,SSD,932,594," INR 14,177.60 ",2016
Mushkin Pilot 1TB MKNSSDPL1TB-D8,SSD,932,596," INR 13,999.20 ",2018
NVMe Sabrent Rocket Q,SSD,932,638," INR 7,200.00 ",2020
Lexar 1TB SSD,SSD,932,752," INR 9,039.20 ",2019
CT1000P2SSD8,SSD,932,753," INR 7,716.00 ",2020
MKNSSDHL1TB-D8,SSD,932,933," INR 6,559.20 ",2019
ADATA SWORDFISH,SSD,932,970," INR 6,399.20 ",2020
CT1000P1SSD8,SSD,932,1002," INR 14,963.20 ",2018
KINGSTON SNVS1000GB,SSD,932,1021," INR 8,784.00 ",2021
Crucial MX500 1TB M.2,SSD,932,1661," INR 24,720.00 ",2018
WDC WDS100T1R0A,SSD,932,1695," INR 9,999.20 ",2020
Samsung SSD 870 EVO 1TB,SSD,932,1709," INR 9,199.20 ",2021
WDC WDS100T2B0B,SSD,932,1738," INR 7,999.20 ",2017
Seagate BarraCuda 120 SSD ZA1000CM10003,SSD,932,1741," INR 11,439.20 ",2020
Samsung SSD 850 EVO mSATA 1TB,SSD,932,1769," INR 39,708.00 ",2015
Samsung SSD 860 EVO 1TB,SSD,932,1805," INR 11,878.40 ",2018
CT1000MX500SSD1,SSD,932,1832," INR 7,839.20 ",2017
WDC WDS100T2B0A,SSD,932,1843," INR 7,999.20 ",2017
Samsung SSD 850 EVO 1TB,SSD,932,1854," INR 19,600.00 ",2015
SanDisk SDSSDH3 1T00,SSD,932,1899," INR 7,999.20 ",2019
WDC WDS100T1R0B,SSD,932,1924," INR 9,200.00 ",2020
PNY CS900 1TB SSD,SSD,932,1950," INR 10,160.00 ",2019
Samsung SSD 840 EVO 1TB,SSD,932,1957," INR 27,911.20 ",2013
Samsung SSD 860 EVO mSATA 1TB,SSD,932,1969," INR 55,999.20 ",2018
SanDisk SDSSDA-1T00,SSD,932,1983," INR 6,399.20 ",2020
WDC WDS100T1B0B,SSD,932,2007," INR 25,500.00 ",2016
WDC WDS100T1B0A,SSD,932,2026," INR 14,398.40 ",2016
T-FORCE 1TB,SSD,932,2105," INR 8,799.20 ",2018
SanDisk Ultra II 1TB,SSD,932,2154," INR 36,252.00 ",2017
Crucial CT1000BX100SSD1,SSD,932,2204," INR 67,704.00 ",2015
Mushkin Reactor 1TB MKNSSDRE1TB,SSD,932,2257," INR 17,979.20 ",2015
CT1000BX500SSD1,SSD,932,2765," INR 6,399.20 ",2019
Samsung Portable SSD T5 1TB,SSD,932,2803," INR 7,999.20 ",2018
HP SSD S700 1TB,SSD,932,3123," INR 8,399.20 ",2019
WDC WDS100T2G0A,SSD,932,3511," INR 8,960.00 ",2019
MKNSSDSR1TB,SSD,932,4383," INR 9,839.20 ",2019
WDC PC SN810 SDCPNRY-1T00,SSD,954,6," INR 16,720.00 ",2021
Micron 3400 NVMe 1TB,SSD,954,43," INR 14,287.20 ",2021
Viper M.2 VPN100 1TB,SSD,954,163," INR 11,570.40 ",2019
INTEL SSDPEKNU010TZ,SSD,954,236," INR 7,199.20 ",2021
WDC PC SN730 SDBPNTY-1T00,SSD,954,255," INR 11,996.00 ",2020
NVMe WDC PC SN720 SED,SSD,954,258," INR 11,920.00 ",2019
Samsung SSD 970 PRO 1TB,SSD,954,264," INR 15,999.20 ",2018
