CPU_Name,Price,cpuValue,TDP,powerPerf,Benchmark,Brand,Power_Category,Usage,Power_Category 1,
Amd Epyc 7763,544360.2543,12.1,280,315.49,88338,AMD,0,High-End,Basic,
Amd Epyc 7713,526464.2,12.16,225,381.6,85861,AMD,2,High-End,Mid,
Amd Ryzen Threadripper Pro 3995Wx,507671.0686,12.33,280,299.9,83971,AMD,0,High-End,Basic,
Amd Ryzen Threadripper 3990X,626364.8833,9.71,280,291.31,81568,AMD,0,High-End,Basic,
Amd Epyc 7643,404541.5043,14.09,225,339.8,76455,AMD,2,High-End,Mid,
Amd Epyc 7702,298280,17.91,200,358.23,71646,AMD,2,High-End,Mid,
Amd Epyc 7662,508343.69,10.5,225,318.12,71576,AMD,0,High-End,Basic,
Amd Epyc 7742,376279.4743,13.62,225,305.55,68749,AMD,0,High-End,Basic,
Amd Epyc 7642,274715.88,18.39,225,301.1,67748,AMD,0,High-End,Basic,
Amd Epyc 7543P,223635.43,22.39,225,298.42,67144,AMD,0,High-End,Basic,
Amd Ryzen Threadripper 3970X,223560.1143,21.29,280,227.98,63835,AMD,0,High-End,Basic,
Amd Ryzen Threadripper Pro 3975Wx,335564.2543,14.11,280,226.77,63495,AMD,0,High-End,Basic,
Intel Xeon Platinum 8380 @ 2.30Ghz,669489.46,6.94,270,230.81,62317,Intel,0,High-End,Basic,
Amd Epyc 7702P,260994.2543,17.63,200,308.44,61689,AMD,0,High-End,Basic,
Amd Epyc 74F3,372029.73,12.22,240,253.95,60948,AMD,0,High-End,Basic,
Amd Epyc 7513,211778.8,21.03,200,298.66,59732,AMD,0,High-End,Basic,
Amd Epyc 7443P,111854.2543,38.44,200,288.33,57666,AMD,0,High-End,Basic,
Amd Epyc 7542,133479.5543,31.69,225,252.13,56728,AMD,0,High-End,Basic,
Amd Epyc 7543,280457.77,15.04,240,235.68,56562,AMD,0,High-End,Basic,
Amd Ryzen Threadripper 3960X,125493.853,32.54,280,195.56,54757,AMD,0,High-End,Basic,
Intel Xeon Platinum 8358 @ 2.60Ghz,380139.2175,10.67,250,217.67,54416,Intel,0,High-End,Basic,
Amd Epyc 7453,134151.43,29.74,225,237.83,53511,AMD,0,High-End,Basic,
Intel Xeon Gold 6348 @ 2.60Ghz,236610.61,16.74,235,226.01,53112,Intel,0,High-End,Basic,
Amd Epyc 7402,146306.34,26.18,180,285.38,51368,AMD,0,High-End,Basic,
Amd Epyc 7502,205067.5,17.88,180,273.21,49177,AMD,0,High-End,Basic,
Amd Epyc 7502P,201078.7507,18.17,180,272.19,48995,AMD,0,High-End,Basic,
Intel Xeon Gold 6342 @ 2.80Ghz,285297.363,12.63,230,210.13,48330,Intel,0,High-End,Basic,
Amd Epyc 7413,148990.1143,23.17,180,257.2,46295,AMD,0,High-End,Basic,
Amd Ryzen 9 5950X,48451.1118,71.1,105,439.96,46195,AMD,2,High-End,Mid,
Amd Epyc 73F3,446823.44,7.69,240,192.02,46085,AMD,0,High-End,Basic,
Amd Epyc 7343,126768.2543,26.99,190,241.48,45882,AMD,0,High-End,Basic,
Intel Xeon Gold 6336Y @ 2.40Ghz,287119.8538,11.82,185,246.04,45517,Intel,0,High-End,Basic,
Intel Core I9-12900Ks,58163.1086,56.72,150,294.95,44243,Intel,0,High-End,Basic,
Intel Xeon Gold 6312U @ 2.40Ghz,129499.7534,25.19,185,236.46,43745,Intel,0,High-End,Basic,
Intel Xeon Gold 6330 @ 2.00Ghz,141981.28,22.61,205,210.03,43056,Intel,0,High-End,Basic,
Amd Epyc 7601,67109.2715,46.94,180,234.69,42244,AMD,0,High-End,Basic,
Amd Epyc 7452,164797.4629,18.95,155,270.14,41871,AMD,0,High-End,Basic,
Amd Epyc 7402P,106555.3101,29.21,180,231.9,41741,AMD,0,High-End,Basic,
Intel Xeon Gold 6354 @ 3.00Ghz,218686.2191,14.13,205,202.12,41434,Intel,0,High-End,Basic,
Intel Core I9-12900Kf,42727.1186,71.84,241,170.8,41163,Intel,0,High-End,Basic,
Intel Core I9-12900K,44738.2715,68.47,241,170.44,41077,Intel,0,High-End,Basic,
Amd Epyc 7F52,231167,13.21,240,170.63,40951,AMD,0,High-End,Basic,
Amd Epyc 7313P,68082.41,44.77,155,263.74,40879,AMD,0,High-End,Basic,
Intel Xeon W-3275M @ 2.50Ghz,555770.21,5.47,205,198.86,40767,Intel,0,High-End,Basic,
Amd Epyc 7313,87991.8543,34.39,155,261.77,40575,AMD,0,High-End,Basic,
Amd Epyc 7352,95449.6,31.62,155,261.11,40472,AMD,0,High-End,Basic,
Amd Ryzen Threadripper Pro 3955Wx,148767.15,20.16,280,143.66,40225,AMD,0,High-End,Basic,
Intel Xeon W-3265M @ 2.70Ghz,473743.21,6.24,205,193.27,39620,Intel,0,High-End,Basic,
Amd Ryzen 9 5900X,29308.2471,100.39,105,375.78,39457,AMD,2,High-End,Mid,
Amd Ryzen 9 3950X,48470.5,60.24,105,372.92,39157,AMD,2,High-End,Mid,
Intel Xeon W-3335 @ 3.40Ghz,96866.43,29.98,250,155.78,38944,Intel,0,High-End,Basic,
Intel Xeon Gold 6248R @ 3.00Ghz,230794.15,12.47,205,188.31,38604,Intel,0,High-End,Basic,
Intel Core I9-12900,37956.13,75.21,65,588.95,38281,Intel,2,High-End,Mid,
