driveName,Type,Type-1,Capacity (in GBs),Benchmark Rank,Price,Release_Date,Category,Size_Category
Intel SSD DC S3500 600GB,SSD,SSD,559,2048,9064,2013,Mid Performance SSD,780 GB
SSD 720GB,SSD,SSD,671,4759,8799.2,2020,Basic SSD,780 GB
Samsung SSD 840 EVO 750GB,SSD,SSD,699,2045,43999.2,2013,Mid Performance SSD,780 GB
Crucial CT750MX300SSD1,SSD,SSD,699,2404,21996,2016,Mid Performance SSD,780 GB
Intel DC P3700 800GB NVMe,SSD,SSD,745,921,59200,2015,High Performance SSD,780 GB
Intel SSD 750 800GB NVMe,SSD,SSD,745,1059,57200,2015,Mid Performance SSD,780 GB
Intel DC P3600 800GB NVMe,SSD,SSD,745,1324,70459.2,2014,Mid Performance SSD,780 GB
Intel SSD DC S3500 800GB,SSD,SSD,745,1941,20800,2015,Mid Performance SSD,780 GB
Intel SSD DC S3700 800GB,SSD,SSD,745,1986,48000,2014,Mid Performance SSD,780 GB
Intel SSD DC S3610 800GB,SSD,SSD,745,2073,34399.2,2016,Mid Performance SSD,780 GB
Intel SSD DC S3710 800GB,SSD,SSD,745,2321,43920,2015,Mid Performance SSD,780 GB
MK0800GCTZB,SSD,SSD,745,2391,30116,2016,Mid Performance SSD,780 GB
Intel Optane 905P 960GB,SSD,SSD,894,190,108941.6,2018,High Performance SSD,1 TB
Corsair Force MP510 960GB,SSD,SSD,894,407,11199.2,2018,High Performance SSD,1 TB
WDC WDS960G2G0C,SSD,SSD,894,430,5999.2,2021,High Performance SSD,1 TB
SAMSUNG MZ1LB960HAJQ-00007,SSD,SSD,894,530,22640,2021,High Performance SSD,1 TB
CT960BX200SSD1,SSD,SSD,894,2335,23821.6,2016,Mid Performance SSD,1 TB
PNY CS1311 960GB SSD,SSD,SSD,894,2424,22608.8,2016,Mid Performance SSD,1 TB
SanDisk Ultra II 960GB,SSD,SSD,894,2462,37056,2015,Mid Performance SSD,1 TB
Crucial CT960M500SSD1,SSD,SSD,894,2727,52317.6,2013,Mid Performance SSD,1 TB
PNY CS900 960GB SSD,SSD,SSD,894,2844,7199.2,2018,Mid Performance SSD,1 TB
FCCT960M500SSD1,SSD,SSD,894,3431,17599.2,2015,Basic SSD,1 TB
Samsung SSD 845DC EVO 960GB,SSD,SSD,894,3780,84380,2015,Basic SSD,1 TB
Patriot Ignite,SSD,SSD,894,3896,12169.6,2015,Basic SSD,1 TB
CT960BX500SSD1,SSD,SSD,894,4499,7999.2,2019,Basic SSD,1 TB
XPG SX950U,SSD,SSD,894,4978,8799.2,2018,Basic SSD,1 TB
Samsung 980 PRO with Heatsink 1TB,SSD,SSD,932,29,14399.2,2021,High Performance SSD,1 TB
CT1000P5PSSD8,SSD,SSD,932,55,10239.2,2021,High Performance SSD,1 TB
MSI M480 1TB,SSD,SSD,932,57,19919.2,2021,High Performance SSD,1 TB
Samsung SSD 980 PRO 1TB,SSD,SSD,932,59,16842.4,2020,High Performance SSD,1 TB
