GPU_Name,brand,model,memory,memory_interface,clock_speed,Price,VRAM,Clock_Speed,Category,Usage
MSI Gaming GeForce RTX 3090 24GB GDRR6X 384-Bit HDMI/DP Nvlink Tri-Frozr 2 Ampere Architecture OC Graphics Card (RTX 3090 GAMING X TRIO 24G),MSI, RTX 3090 GAMING X TRIO 24G , 24 GB ,6, 1785 MHz ,103199.2,24,1785,High-Performance,High-End
"EVGA GeForce RTX 3090 FTW3 Ultra Gaming, 24GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate",EVGA, RTX 3090 FTW3 Ultra , 24 GB ,5, 1800 MHz ,95999.2,24,1800,High-Performance,High-End
"ASUS ROG Strix NVIDIA GeForce RTX 3090 White OC Edition Gaming Graphics Card (PCIe 4.0, 24GB GDDR6X, HDMI 2.1, DisplayPort 1.4a",ASUS, ROG Strix RTX 3090 OC Edition , 24 GB ,5, 1890 MHz ,143599.2,24,1890,High-Performance,High-End
MSI Gaming GeForce RTX 3090 24GB GDRR6X 384-Bit HDMI/DP 1875 MHz Ampere Architecture OC Graphics Card (RTX 3090 Suprim X 24G),MSI, RTX 3090 SUPRIM X 24G , 24 GB ,5, 1875 MHz ,161376.8,24,1875,High-Performance,High-End
"GIGABYTE AORUS GeForce RTX 3090 Xtreme 24G Graphics Card, Max Covered Cooling, 24GB 384-bit GDDR6X Video Card",Gigabyte, AORUS RTX 3090 Xtreme 24G , 24 GB ,5, 1860 MHz ,271999.2,24,1860,High-Performance,High-End
"ASUS TUF Gaming NVIDIA GeForce RTX 3090 OC Edition Graphics Card- PCIe 4.0, 24GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Dual Ball Fan Bearings",ASUS, TUF Gaming RTX 3090 OC Edition , 24 GB ,5, 1770 MHz ,99920,24,1770,High-Performance,High-End
"GIGABYTE AORUS GeForce RTX 3090 Xtreme WATERFORCE 24G Graphics Card, WATERFORCE All-in-One Cooling System, 24GB 384-bit GDDR6X",Gigabyte, AORUS RTX 3090 Xtreme Waterforce 24G , 24 GB ,5, 1785 MHz ,544000,24,1785,High-Performance,High-End
"EVGA 24G-P5-3975-KR GeForce RTX 3090 XC3 Ultra Gaming, 24GB GDDR6X, iCX3 Cooling, ARGB LED, Metal Backplate",EVGA, RTX 3090 XC3 Ultra , 24 GB ,5, 1725 MHz ,103920,24,1725,High-Performance,High-End
"Gigabyte GeForce RTX 3090 GAMING OC 24G Graphics Card, 3x WINDFORCE Fans, 24GB 384-Bit GDDR6X, GV-N3090GAMING OC-24GD Video Card",Gigabyte, RTX 3090 Gaming OC 24G , 24 GB ,5, 1755 MHz ,103920,24,1755,High-Performance,High-End
MSI Gaming GeForce RTX 3090 24GB GDRR6X 384-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card (RTX 3090 VENTUS 3X 24G OC),MSI, RTX 3090 VENTUS 3X 24G OC , 24 GB ,5, 1725 MHz ,101592,24,1725,High-Performance,High-End
"ZOTAC Gaming GeForce RTX 3090 Trinity OC 24GB GDDR6X 384-bit 19.5 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling",ZOTAC, RTX 3090 Trinity OC 24GB , 24 GB ,5, 1710 MHz ,97200,24,1710,High-Performance,High-End
MSI Gaming GeForce RTX 3080 Ti 12GB GDRR6X 320-Bit HDMI/DP Nvlink Torx Fan 3 Ampere Architecture OC Graphics Card (RTX 3080 Ti Gaming X Trio 12G),MSI, RTX 3080 Ti Gaming X Trio 12G , 12 GB ,5, 1770 MHz ,76799.2,12,1770,High-Performance,Gaming or High-end
"EVGA GeForce RTX 3080 Ti FTW3 Ultra Gaming, 12G-P5-3967-KR, 12GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate",EVGA, RTX 3080 Ti FTW3 Ultra , 12 GB ,5, 1800 MHz ,86760,12,1800,High-Performance,Gaming or High-end
EVGA GeForce RTX 3080 Ti XC3 ULTRA GAMING 12G-P5-3955-KR 12GB GDDR6X Graphics Card,EVGA, RTX 3080 Ti XC3 ULTRA , 12 GB ,5, 1725 MHz ,79920,12,1725,High-Performance,Gaming or High-end
MSI Gaming GeForce RTX 3080 Ti 12GB GDRR6X 320-Bit HDMI/DP Nvlink Tri-Frozr 2 Ampere Architecture OC Graphics Card (RTX 3080 Ti Ventus 3X 12G OC),MSI, RTX 3080 Ti Ventus 3X 12G OC , 12 GB ,5, 1695 MHz ,74399.2,12,1695,Basic-Level,Gaming or High-end
Gigabyte GeForce RTX 3080 Ti VISION OC 12GB Graphics Card,Gigabyte, RTX 3080 Ti VISION OC 12GB , 12 GB ,5, 1770 MHz ,96239.2,12,1770,High-Performance,Gaming or High-end
"GIGABYTE AORUS GeForce RTX 3080 Ti Xtreme 10G Graphics Card, Max Covered Cooling, 12GB 384-bit GDDR6X Video Card",Gigabyte, AORUS RTX 3080 Ti Xtreme 10G , 12 GB ,5, 1770 MHz ,135999.2,12,1770,High-Performance,Gaming or High-end
ZOTAC GAMING GEFORCE RTX 3080 Ti Trinity OC 12GB,ZOTACGAMING, RTX 3080 Ti Trinity OC 12GB , 12 GB ,5, 1695 MHz ,83999.2,12,1695,High-Performance,Gaming or High-end
"INNO3D GeForce RTX 3080 Ti iChill X4 LHR, 12288 MB GDDR6X",Inno3D, RTX 3080 Ti iChill X4 , 12 GB ,5, 1710 MHz ,136400,12,1710,High-Performance,Gaming or High-end
XFX Speedster MERC319 Radeon RX 6800XT Black 16GB GDDR6 HDMI DisplayPort USB-C PCIe 4.0 Gaming Graphics Card,XFX, Speedster MERC319 RX-68XTACBD9 , 16 GB ,4, 2360 MHz ,135919.2,16,2360,High-Performance,High-End
