RAM_Name,Version,Size_GB,Speed,Price,Rating,Size,Category
Crucial RAM 8GB DDR4 3200MHz CL22 (or 2933MHz or 2666MHz) Laptop Memory CT8G4SFRA32A,DDR4, 8GB,3200,1359.2,4.8,8,Mid
DDR4 RAM 3200MHz 8GB CL18 (PC4-25600) 1.35V DDR4 UDIMM Kit de Memoria de escritorio de aluminio PCB Verde,DDR4, 8GB,3200,2079.2,4.6,8,Mid
KLEVV Hynix Chips 8GB (1 x 8GB) DDR4 UDIMM PC4-25600 3200MHz CL22 Unbuffered Non-ECC 1.2V 288 Pin Desktop Ram Memory (KD48GU881-32N220A),DDR4, 8GB,3200,1279.2,4.7,8,Mid
Patriot Memory Viper Steel DDR4 8GB (1 x 8GB) 3200MHz Single Module SODIMM,DDR4, 8GB,3200,1519.2,4.6,8,Mid
Patriot Memory Viper Steel DDR4 8GB(2 x 4GB) 3200MHz Kit,DDR4, 8GB,3200,1919.2,4.5,8,Mid
PC2 6400 DDR2 800MHz UDIMM RAM 8GB Kit (2GBX4) 2Rx8 PC2 6400U 2GB 1.8V Non-ecc Unbuffered Desktop Memory,DDR3, 8GB,2800,1599.2,4.7,8,Mid
Samsung 8GB DDR4 3200MHz SODIMM PC4-25600 CL22 1Rx8 1.2V 260-Pin SO-DIMM Laptop Notebook RAM Memory Module M471A1K43DB1-CWE,DDR4, 8GB,3200,1209.6,4.7,8,Mid
SpotMarket 8GB DDR4 3200MHz PC4-25600 1.2V 1Rx8 260-Pin SODIMM Laptop RAM Memory Module M471A1K43EB1-CWE,DDR4, 8GB,3200,6399.2,4.7,8,Mid
"TECMIYO 8GB Kit(2x4GB) DDR3L/DDR3 1600MHz Ram PC3L-12800U CL11 1.35V/1.5V PC3 12800 Unbuffered Non-ECC Udimm 240 Pin 2Rx8 Dual Rank Desktop Memory Ram,Upgrade Module Ram for PC Computer (2x4GB RAM)",DDR3, 8GB,1600,1439.2,4.7,8,Basic
"TECMIYO DDR3L/DDR3 1600MHz 8GB Kit(2x4GB) Ram PC3L-12800S CL11 1.35V/1.5V PC3 12800 Unbuffered Non-ECC Sodimm 204 Pin 2Rx8 Dual Rank Laptop Memory Ram,Upgrade Module Ram for Notebook Laptop(2x4GB RAM)",DDR3, 8GB,1600,1439.2,4.7,8,Basic
"TECMIYO DDR3L/DDR3 8GB 1600MHz Ram PC3L-12800S CL11 1.35V/1.5V PC3 12800 Unbuffered Non-ECC Sodimm 204 Pin 2Rx8 Dual Rank Laptop Memory Ram,Upgrade Module Ram for Notebook Laptop (1x8GB RAM)",DDR3, 8GB,1600,1119.2,4.7,8,Basic
Timetec 8GB DDR3L / DDR3 1600MHz (DDR3L-1600) PC3L-12800 / PC3-12800(PC3L-12800S) Non-ECC Unbuffered 1.35V/1.5V CL11 2Rx8 Dual Rank 204 Pin SODIMM Laptop Notebook PC Computer Memory RAM Module Upgrade,DDR3, 8GB,1600,959.2,4.7,8,Basic
Timetec 8GB DDR4 3200MHz (or 2933MHz or 2666MHz) PC4-25600 Non-ECC Unbuffered 1.2V CL22 1Rx8 Single Rank 260 Pin SODIMM Laptop Notebook PC Computer Memory RAM Module Upgrade,DDR4, 8GB,3200,1279.2,4.7,8,Mid
Timetec 8GB KIT(2x4GB) DDR3 / DDR3L 1333MHz PC3-10600 Non-ECC Unbuffered 1.5V / 1.35V CL9 2Rx8 Dual Rank Low Density 204 Pin SODIMM Laptop Notebook PC Computer Memory RAM Module Upgrade,DDR3, 8GB,1333,1439.2,4.7,8,Basic
Timetec Pinnacle Konduit 8GB DDR4 3200MHz PC4-25600 CL16-18-18-38 XMP2.0 Overclocking 1.35V Compatible for AMD and Intel Desktop Gaming PC Memory Module RAM - Black,DDR4, 8GB,3200,1599.2,4.6,8,Mid
16GB (1x16GB) DDR4-2666MHz PC4-21300 ECC RDIMM 2Rx8 1.2V Registered Server Memory by NEMIX RAM,DDR4,16GB,2666,2959.2,4.4,16,Mid
16GB 3200MHz DDR4 CL16 DIMM (Kit of 2) Fury Beast Black,DDR4,16GB,3200,3599.2,4.7,16,Mid
【DDR4 RAM】 Gigastone Desktop RAM 16GB (2x8GB) DDR4 16GB DDR4-2666MHz PC4-21300 CL19 1.2V 288 Pin Unbuffered Non ECC UDIMM for PC Computer Desktop Memory Module (Desktop ONLY),DDR4,16GB,2666,2879.2,4.5,16,Mid
A-Tech 16GB (2x8GB) DDR3/DDR3L 1600MHz PC3L-12800 (PC3-12800) CL11 DIMM 2Rx8 1.35V 240-Pin Non-ECC UDIMM Desktop RAM Memory Modules,DDR3,16GB,1600,2599.2,4.7,16,Mid
A-Tech 16GB (2x8GB) DDR5 4800 MHz SODIMM PC5-38400 CL40 262-Pin 1.1V Laptop RAM Memory Modules,DDR5,16GB,4800,3025.6,4.9,16,High
"A-Tech 16GB Kit (2x8GB) RAM for Apple MacBook Pro (Mid 2012), iMac (Late 2012, Early/Late 2013, Late 2014, Mid 2015), Mac Mini (Late 2012) | DDR3 1600MHz PC3-12800 SODIMM 204-Pin Memory Upgrade",DDR3,16GB,1600,2622.4,4.8,16,Mid
